,index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_time_dt,wake_time_dt,sleep_duration,sleep_minutes
4488,4488,1,No,SPORTS,Visual,1J9F7N,Male,N,51.0,17.0,13.0,16.0,6.0,98.0,23:00,7:00,walk,black,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4489,4489,0,No,ARTS,Visual,5Q3J8I,Female,N,64.0,16.0,4.0,16.0,19.0,95.0,22:30,6:30,private transport,blue,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4490,4490,0,Yes,NONE,Auditory,1MRXSP,Female,Y,74.0,11.0,9.0,15.0,13.0,95.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4491,4491,1,No,ARTS,Auditory,PNUOL1,Male,N,58.0,20.0,11.0,16.0,10.0,91.0,23:00,6:00,private transport,green,1900-01-01 23:00:00,1900-01-01 06:00:00,0 days 07:00:00,420
4492,4492,1,No,ARTS,Auditory,R60DM9,Female,N,54.0,13.0,12.0,16.0,8.0,95.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4493,4493,0,Yes,SPORTS,Visual,WAHKX7,Male,Y,70.0,16.0,0.0,16.0,8.0,97.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4494,4494,1,No,CLUBS,Auditory,OVZXG9,Male,Y,67.0,20.0,8.0,16.0,7.0,95.0,21:00,5:00,public transport,blue,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4495,4495,0,No,ARTS,Visual,ZR1W4F,Male,Y,92.0,19.0,0.0,16.0,6.0,92.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4496,4496,0,No,NONE,Auditory,U3UEVV,Male,Y,92.0,15.0,7.0,15.0,6.0,92.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4497,4497,0,Yes,NONE,Auditory,VD3XZK,Male,N,82.0,20.0,1.0,16.0,10.0,93.0,21:30,5:30,public transport,blue,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4498,4498,0,No,NONE,Auditory,S2X8CO,Male,N,92.0,18.0,7.0,15.0,8.0,93.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4499,4499,1,No,ARTS,Auditory,5PLKWJ,Male,N,68.0,17.0,7.0,15.0,15.0,79.0,22:00,5:00,public transport,blue,1900-01-01 22:00:00,1900-01-01 05:00:00,0 days 07:00:00,420
4500,4500,0,No,ARTS,Auditory,J9U82T,Female,Y,73.0,7.0,14.0,15.0,20.0,99.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4501,4501,0,No,ARTS,Visual,WF276F,Female,N,82.0,18.0,6.0,16.0,7.0,96.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4502,4502,0,No,SPORTS,Auditory,U4ZVVI,Male,Y,74.0,23.0,0.0,16.0,18.0,97.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4503,4503,1,No,ARTS,Auditory,H7BY38,Male,N,52.0,23.0,8.0,16.0,18.0,91.0,22:00,5:00,public transport,black,1900-01-01 22:00:00,1900-01-01 05:00:00,0 days 07:00:00,420
4504,4504,0,Yes,CLUBS,Auditory,1BCVYG,Female,N,49.0,18.0,3.0,16.0,11.0,93.0,22:00,5:00,public transport,black,1900-01-01 22:00:00,1900-01-01 05:00:00,0 days 07:00:00,420
4505,4505,0,No,NONE,Auditory,RXYGUI,Female,Y,93.0,13.0,12.0,16.0,5.0,95.0,21:00,5:00,public transport,white,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4506,4506,1,No,CLUBS,Auditory,54NMWF,Female,Y,47.0,2.0,23.0,15.0,9.0,63.0,23:00,5:00,public transport,yellow,1900-01-01 23:00:00,1900-01-01 05:00:00,0 days 06:00:00,360
4507,4507,1,No,ARTS,Visual,L6LZES,Male,Y,47.0,12.0,18.0,15.0,1.0,94.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4508,4508,2,No,SPORTS,Auditory,CXWU5B,Male,Y,55.0,11.0,7.0,16.0,13.0,94.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4509,4509,1,No,SPORTS,Visual,0R3MO8,Male,N,53.0,13.0,17.0,15.0,7.0,94.0,23:00,7:00,walk,green,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4510,4510,0,No,NONE,Auditory,ECBA8X,Female,N,88.0,3.0,19.0,15.0,8.0,96.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4511,4511,0,No,SPORTS,Auditory,KPOZFX,Male,N,59.0,19.0,8.0,16.0,7.0,93.0,23:00,7:00,walk,black,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4512,4512,1,No,CLUBS,Auditory,ISE5N7,Female,Y,63.0,11.0,17.0,16.0,17.0,91.0,22:00,6:00,private transport,white,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4513,4513,2,No,SPORTS,Auditory,RXTBXJ,Male,N,48.0,15.0,4.0,15.0,2.0,94.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4514,4514,0,No,ARTS,Auditory,N25BOU,Female,N,56.0,22.0,0.0,16.0,17.0,93.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4515,4515,2,No,SPORTS,Auditory,PNGD1J,Female,Y,58.0,5.0,13.0,15.0,7.0,94.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4516,4516,1,No,ARTS,Auditory,WYZEA3,Female,N,50.0,16.0,13.0,15.0,16.0,91.0,21:00,5:00,public transport,blue,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4517,4517,2,No,CLUBS,Visual,EMOC1N,Female,N,72.0,11.0,11.0,16.0,11.0,97.0,23:00,7:00,walk,blue,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4518,4518,2,No,SPORTS,Auditory,3PVJK0,Female,Y,73.0,15.0,4.0,16.0,9.0,91.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4519,4519,1,Yes,ARTS,Auditory,MP9TV3,Male,N,83.0,14.0,3.0,15.0,8.0,99.0,22:30,6:30,private transport,yellow,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4520,4520,0,No,NONE,Auditory,D6QA29,Male,Y,84.0,14.0,8.0,16.0,7.0,91.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4521,4521,0,No,SPORTS,Auditory,DBC41Q,Female,N,65.0,3.0,24.0,15.0,6.0,95.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4522,4522,1,No,SPORTS,Auditory,YK1JBM,Female,Y,67.0,10.0,18.0,16.0,15.0,98.0,21:30,5:30,public transport,black,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4523,4523,1,Yes,NONE,Visual,ZTU9RI,Male,Y,76.0,13.0,4.0,16.0,15.0,96.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4524,4524,2,Yes,ARTS,Visual,TWULJ8,Male,N,72.0,11.0,9.0,15.0,9.0,94.0,23:00,7:00,walk,black,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4525,4525,0,No,NONE,Auditory,CR94NJ,Male,Y,94.0,23.0,2.0,15.0,5.0,96.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4526,4526,0,No,ARTS,Auditory,21XK3B,Female,N,58.0,20.0,2.0,15.0,8.0,99.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4527,4527,0,No,NONE,Auditory,KXU6V5,Male,N,93.0,13.0,12.0,15.0,8.0,98.0,23:00,7:00,walk,blue,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4528,4528,2,No,CLUBS,Auditory,B39WAY,Male,N,54.0,22.0,0.0,15.0,19.0,99.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4529,4529,0,Yes,ARTS,Auditory,YJXZNC,Male,Y,76.0,13.0,6.0,15.0,14.0,100.0,21:30,5:30,public transport,black,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4530,4530,0,No,NONE,Visual,HIMYB8,Male,N,84.0,12.0,11.0,16.0,8.0,95.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4531,4531,1,No,ARTS,Visual,2KEJ8M,Male,N,56.0,21.0,5.0,16.0,19.0,93.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4532,4532,2,No,CLUBS,Visual,OTM2LZ,Male,N,56.0,13.0,9.0,15.0,20.0,96.0,22:30,6:30,private transport,yellow,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4533,4533,1,No,SPORTS,Visual,H35BDL,Male,Y,64.0,14.0,12.0,16.0,14.0,95.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4534,4534,1,No,SPORTS,Auditory,K30COD,Male,N,48.0,23.0,1.0,16.0,3.0,93.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4535,4535,0,No,NONE,Auditory,99G7A5,Female,N,81.0,14.0,7.0,15.0,8.0,94.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4536,4536,2,No,CLUBS,Auditory,FK95PX,Male,N,73.0,10.0,9.0,15.0,10.0,99.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4537,4537,2,No,SPORTS,Auditory,V2XCL3,Male,Y,64.0,10.0,10.0,15.0,15.0,91.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4538,4538,1,No,SPORTS,Auditory,Y1DDWA,Male,N,68.0,20.0,8.0,16.0,15.0,99.0,22:00,6:00,private transport,blue,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4539,4539,0,Yes,NONE,Visual,1M07PM,Female,N,79.0,5.0,10.0,16.0,10.0,93.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4540,4540,0,No,ARTS,Visual,W34JO6,Male,N,90.0,19.0,4.0,16.0,8.0,94.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4541,4541,2,Yes,ARTS,Visual,VBDZ9Q,Male,N,70.0,15.0,0.0,16.0,13.0,90.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4542,4542,0,No,NONE,Visual,S8DT7D,Female,Y,68.0,6.0,18.0,16.0,9.0,96.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4543,4543,0,No,SPORTS,Visual,0A3VJ3,Male,Y,94.0,21.0,2.0,16.0,5.0,94.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4544,4544,0,Yes,ARTS,Visual,JIBB8X,Female,Y,78.0,9.0,9.0,16.0,8.0,98.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4545,4545,0,Yes,CLUBS,Auditory,RGB64W,Male,N,77.0,16.0,4.0,16.0,9.0,96.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4546,4546,1,No,SPORTS,Visual,SJNRQ0,Female,N,59.0,15.0,15.0,16.0,18.0,95.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4547,4547,0,No,SPORTS,Auditory,FPN6P5,Female,N,63.0,25.0,2.0,16.0,14.0,98.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4548,4548,2,No,SPORTS,Visual,E1LZCV,Male,Y,78.0,13.0,4.0,16.0,10.0,90.0,22:30,6:30,private transport,yellow,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4549,4549,1,No,NONE,Visual,BQTTF7,Male,Y,64.0,26.0,0.0,15.0,11.0,92.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4550,4550,1,No,NONE,Visual,5ZNSUH,Female,N,47.0,26.0,4.0,16.0,8.0,58.0,23:30,5:30,public transport,red,1900-01-01 23:30:00,1900-01-01 05:30:00,0 days 06:00:00,360
4551,4551,0,No,SPORTS,Visual,KYL9PH,Male,N,83.0,21.0,3.0,15.0,8.0,98.0,21:00,5:00,public transport,white,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4552,4552,2,Yes,CLUBS,Visual,1236RB,Female,N,74.0,12.0,3.0,15.0,20.0,99.0,23:00,7:00,walk,red,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4553,4553,1,No,CLUBS,Auditory,9VMVYU,Male,N,51.0,19.0,11.0,15.0,8.0,95.0,22:00,6:00,private transport,blue,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4554,4554,1,Yes,CLUBS,Auditory,GYH9Y9,Male,Y,68.0,14.0,11.0,15.0,10.0,98.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4555,4555,0,No,NONE,Auditory,XZ7TBI,Male,N,66.0,16.0,4.0,15.0,11.0,96.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4556,4556,0,No,SPORTS,Auditory,2OKC6F,Female,Y,72.0,17.0,6.0,15.0,16.0,94.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4557,4557,1,No,ARTS,Auditory,6TEQAK,Female,Y,58.0,10.0,18.0,15.0,16.0,93.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4558,4558,0,No,SPORTS,Auditory,7KQTGK,Female,Y,71.0,18.0,3.0,16.0,12.0,93.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4559,4559,2,Yes,ARTS,Auditory,O8XXQP,Female,N,40.0,18.0,4.0,15.0,8.0,52.0,0:00,5:00,public transport,green,1900-01-01 00:00:00,1900-01-01 05:00:00,0 days 05:00:00,300
4560,4560,1,No,SPORTS,Visual,4HHUJU,Male,Y,75.0,17.0,8.0,16.0,8.0,97.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4561,4561,1,No,CLUBS,Auditory,8FQ9HD,Female,Y,66.0,1.0,21.0,15.0,5.0,90.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4562,4562,0,No,CLUBS,Auditory,SMA1LH,Male,N,64.0,15.0,12.0,16.0,8.0,96.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4563,4563,0,No,ARTS,Auditory,CNOIAI,Male,Y,94.0,14.0,7.0,16.0,5.0,97.0,21:00,5:00,public transport,black,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4564,4564,2,Yes,SPORTS,Auditory,C5SNUG,Male,Y,54.0,12.0,4.0,16.0,13.0,100.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4565,4565,2,Yes,NONE,Auditory,2SEU1Q,Female,Y,47.0,2.0,21.0,16.0,9.0,96.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4566,4566,0,No,CLUBS,Visual,T90LXI,Female,Y,63.0,19.0,1.0,16.0,8.0,99.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4567,4567,1,No,SPORTS,Auditory,L0OKPG,Female,N,46.0,7.0,17.0,15.0,12.0,62.0,0:30,5:30,public transport,white,1900-01-01 00:30:00,1900-01-01 05:30:00,0 days 05:00:00,300
4568,4568,1,No,ARTS,Auditory,E5C06G,Male,Y,53.0,22.0,8.0,15.0,12.0,96.0,23:00,7:00,walk,yellow,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4569,4569,0,No,CLUBS,Auditory,ZIUCNN,Male,Y,81.0,15.0,6.0,15.0,8.0,95.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4570,4570,2,No,NONE,Auditory,35JG8H,Male,N,73.0,11.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4571,4571,0,No,CLUBS,Visual,DPBXHA,Male,N,74.0,14.0,14.0,16.0,8.0,93.0,22:30,6:30,private transport,blue,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4572,4572,2,No,ARTS,Visual,MPBLB0,Female,N,79.0,5.0,12.0,15.0,7.0,94.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4573,4573,0,No,SPORTS,Visual,ZMJQH3,Female,N,78.0,15.0,13.0,15.0,5.0,93.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4574,4574,1,No,ARTS,Auditory,1LSHC1,Male,N,48.0,24.0,1.0,15.0,8.0,93.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4575,4575,1,Yes,ARTS,Visual,DZKDOY,Female,N,58.0,0.0,27.0,16.0,13.0,94.0,22:00,6:00,private transport,red,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4576,4576,0,No,NONE,Auditory,M9O63Q,Male,Y,70.0,20.0,2.0,15.0,19.0,93.0,21:00,5:00,public transport,green,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4577,4577,1,Yes,CLUBS,Auditory,TMMV6C,Male,Y,41.0,28.0,0.0,16.0,3.0,95.0,22:00,6:00,private transport,blue,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4578,4578,1,Yes,SPORTS,Auditory,XJY09W,Female,N,32.0,8.0,20.0,15.0,9.0,50.0,0:00,5:00,public transport,blue,1900-01-01 00:00:00,1900-01-01 05:00:00,0 days 05:00:00,300
4579,4579,2,No,CLUBS,Visual,A0GDIX,Female,Y,79.0,0.0,17.0,15.0,5.0,100.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4580,4580,0,No,NONE,Visual,NGOS7G,Male,N,71.0,11.0,16.0,15.0,5.0,92.0,21:30,5:30,public transport,white,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4581,4581,2,No,ARTS,Visual,DID3S5,Female,Y,73.0,19.0,0.0,16.0,5.0,98.0,22:30,6:30,private transport,red,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4582,4582,1,No,ARTS,Auditory,CJXP8X,Male,N,56.0,22.0,5.0,15.0,18.0,97.0,22:30,6:30,private transport,white,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4583,4583,1,Yes,NONE,Auditory,HR1CZU,Female,Y,79.0,16.0,5.0,16.0,9.0,96.0,21:00,5:00,public transport,white,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4584,4584,1,Yes,SPORTS,Auditory,BYZ1G4,Male,N,78.0,17.0,4.0,16.0,9.0,94.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4585,4585,0,Yes,NONE,Auditory,MJ8B2G,Female,N,76.0,1.0,18.0,15.0,11.0,96.0,21:30,5:30,public transport,green,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4586,4586,2,Yes,ARTS,Visual,A9M3SS,Male,N,40.0,16.0,6.0,16.0,5.0,48.0,0:00,5:00,public transport,white,1900-01-01 00:00:00,1900-01-01 05:00:00,0 days 05:00:00,300
4587,4587,0,Yes,NONE,Visual,IMKYZA,Female,N,83.0,14.0,6.0,16.0,6.0,93.0,21:00,5:00,public transport,blue,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4588,4588,2,Yes,NONE,Visual,P5QQAB,Female,Y,82.0,12.0,6.0,16.0,10.0,95.0,23:00,7:00,walk,black,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4589,4589,2,Yes,CLUBS,Auditory,9XQV14,Male,Y,44.0,14.0,10.0,16.0,3.0,77.0,22:30,5:30,public transport,green,1900-01-01 22:30:00,1900-01-01 05:30:00,0 days 07:00:00,420
4590,4590,2,No,CLUBS,Auditory,2FX1H7,Male,N,55.0,12.0,8.0,15.0,18.0,98.0,22:30,6:30,private transport,yellow,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4591,4591,0,No,ARTS,Auditory,XB95D2,Female,N,54.0,21.0,0.0,15.0,16.0,90.0,23:00,6:00,private transport,blue,1900-01-01 23:00:00,1900-01-01 06:00:00,0 days 07:00:00,420
4592,4592,1,No,ARTS,Visual,U8ATA5,Female,Y,62.0,15.0,7.0,15.0,6.0,93.0,21:30,5:30,public transport,black,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4593,4593,1,Yes,CLUBS,Auditory,RIOKIH,Female,N,83.0,0.0,17.0,16.0,7.0,95.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4594,4594,0,No,NONE,Visual,89FGQY,Male,Y,80.0,25.0,2.0,15.0,8.0,92.0,21:30,5:30,public transport,red,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4595,4595,0,No,NONE,Auditory,5MAF6Y,Male,Y,94.0,12.0,9.0,16.0,7.0,93.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4596,4596,1,No,ARTS,Auditory,YZCTLY,Female,N,45.0,3.0,25.0,15.0,1.0,63.0,0:00,6:00,private transport,black,1900-01-01 00:00:00,1900-01-01 06:00:00,0 days 06:00:00,360
4597,4597,2,No,NONE,Auditory,Q066GW,Female,N,69.0,5.0,16.0,15.0,15.0,92.0,21:00,5:00,public transport,red,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4598,4598,2,No,SPORTS,Auditory,QWUVXK,Female,N,45.0,17.0,6.0,15.0,1.0,70.0,23:00,5:00,public transport,white,1900-01-01 23:00:00,1900-01-01 05:00:00,0 days 06:00:00,360
4599,4599,0,No,NONE,Auditory,DE8N9J,Male,N,66.0,22.0,5.0,15.0,10.0,97.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4600,4600,0,No,SPORTS,Auditory,Q9O668,Male,N,68.0,25.0,2.0,16.0,9.0,96.0,22:30,6:30,private transport,black,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4601,4601,2,No,CLUBS,Visual,PRHVFW,Male,N,61.0,18.0,5.0,16.0,18.0,91.0,21:30,5:30,public transport,black,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4602,4602,0,No,SPORTS,Visual,B8KD86,Female,Y,90.0,18.0,5.0,15.0,8.0,93.0,22:30,5:30,public transport,black,1900-01-01 22:30:00,1900-01-01 05:30:00,0 days 07:00:00,420
4603,4603,2,No,SPORTS,Auditory,ETHQTU,Female,Y,42.0,3.0,19.0,15.0,4.0,53.0,2:30,6:30,private transport,white,1900-01-01 02:30:00,1900-01-01 06:30:00,0 days 04:00:00,240
4604,4604,1,No,ARTS,Visual,W5ASQP,Female,N,48.0,22.0,8.0,15.0,6.0,99.0,21:00,5:00,public transport,yellow,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4605,4605,0,Yes,NONE,Visual,QGLBSC,Male,Y,90.0,13.0,3.0,16.0,10.0,96.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4606,4606,1,No,SPORTS,Visual,KW73YI,Male,N,81.0,24.0,1.0,15.0,9.0,97.0,23:00,7:00,walk,white,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4607,4607,1,No,ARTS,Visual,EH9R4C,Female,N,55.0,17.0,13.0,15.0,12.0,98.0,21:00,5:00,public transport,white,1900-01-01 21:00:00,1900-01-01 05:00:00,0 days 08:00:00,480
4608,4608,1,Yes,SPORTS,Auditory,LMFJSI,Female,Y,81.0,12.0,10.0,16.0,7.0,96.0,22:30,6:30,private transport,green,1900-01-01 22:30:00,1900-01-01 06:30:00,0 days 08:00:00,480
4609,4609,0,No,CLUBS,Auditory,CZQH73,Female,Y,64.0,9.0,18.0,15.0,12.0,96.0,22:00,6:00,private transport,yellow,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4610,4610,1,No,NONE,Auditory,7M8L5A,Male,Y,74.0,27.0,1.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,1900-01-01 21:30:00,1900-01-01 05:30:00,0 days 08:00:00,480
4611,4611,1,No,ARTS,Auditory,XCVL8C,Male,N,53.0,27.0,4.0,15.0,19.0,98.0,22:00,6:00,private transport,green,1900-01-01 22:00:00,1900-01-01 06:00:00,0 days 08:00:00,480
4612,4612,1,Yes,NONE,Auditory,P6UISM,Female,Y,87.0,0.0,22.0,16.0,8.0,90.0,23:00,7:00,walk,green,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4613,4613,2,Yes,ARTS,Auditory,V3H2TL,Male,N,43.0,10.0,14.0,15.0,12.0,99.0,23:00,7:00,walk,green,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
4614,4614,0,No,NONE,Visual,WH8Y5D,Male,Y,85.0,11.0,7.0,16.0,7.0,100.0,23:00,7:00,walk,blue,1900-01-01 23:00:00,1900-01-01 07:00:00,0 days 08:00:00,480
